K,r_mean,F_last,rad_max,arg_max,mode
0.200000,0.000000,-2.094395,0.947906,0.000000,real
0.410000,0.000000,-2.094395,0.893206,0.000000,real
0.620000,0.000000,-2.094395,0.838507,0.000000,real
0.830000,0.000000,-2.094395,0.783808,0.000000,real
1.040000,0.000000,-2.094395,0.729109,0.000000,real
1.250000,0.000000,-2.094395,0.674410,0.000000,real
1.450000,0.000000,-2.094395,0.622315,0.000000,real
1.660000,0.000000,-2.094395,0.567616,0.000000,real
1.870000,0.000000,-2.094395,0.512917,0.000000,real
2.080000,0.000000,-2.094395,0.458218,0.000000,real
2.290000,0.000000,-2.094395,0.403519,0.000000,real
2.500000,0.000000,-2.094395,0.348819,0.000000,real
