K,r_mean,F_last,rad_max,arg_max,mode
0.200000,0.999576,-2.094395,0.777497,0.000000,real
0.410000,0.999901,-2.094395,0.535915,0.000000,real
0.620000,0.999957,-2.094395,0.294523,0.000000,real
0.830000,0.999976,-2.094395,0.053176,0.000000,real
1.040000,0.999985,-2.094395,0.201795,3.141593,real
1.250000,0.999989,-2.094395,0.443101,3.141593,real
1.450000,0.999992,-2.094395,0.672915,3.141593,real
1.660000,0.999994,-2.094395,0.914220,3.141593,real
1.870000,0.971119,-2.094395,1.520038,3.141593,real
2.080000,0.933335,-2.094395,1.880523,3.141593,real
2.290000,0.007512,-2.094395,0.447746,0.000000,real
2.500000,0.549447,-2.094395,2.722181,0.000000,real
