K,rho1,ang1,rho2,ang2
0.500000000,0.000000000,0.000000000,0.000000000,0.000000000
0.571122230,0.000000000,0.000000000,0.000000000,0.000000000
0.642244460,0.000000000,0.000000000,0.000000000,0.000000000
0.713366690,1.009946916,0.104347505,0.992942429,0.104748527
0.784488921,1.011032558,0.116877759,0.994373952,0.117650529
0.855611151,1.012334573,0.128162993,0.995803417,0.129228667
0.926733381,1.013761342,0.138496544,0.997230833,0.139812484
0.997855611,1.015264674,0.148072846,0.998656209,0.149613386
1.068977841,1.016816920,0.157028223,1.000079554,0.158776647
1.140100071,1.018401170,0.165462477,1.001500875,0.167407216
1.211222302,1.020006569,0.173451218,1.002920182,0.175583860
1.282344532,1.021625874,0.181053324,1.004337484,0.183367501
1.353466762,1.023254111,0.188315700,1.005752788,0.190806422
1.424588992,1.024887772,0.195276425,1.007166103,0.197939662
1.495711222,1.026524340,0.201966912,1.008577438,0.204799330
1.566833452,1.028161979,0.208413442,1.009986801,0.211412213
1.637955683,1.029799332,0.214638261,1.011394200,0.217800945
1.709077913,1.031435385,0.220660400,1.012799643,0.223984850
1.780200143,1.033069379,0.226496293,1.014203138,0.229980595
1.851322373,1.034700738,0.232160244,1.015604694,0.235802668
1.922444603,1.036329030,0.237664802,1.017004319,0.241463764
1.993566833,1.037953926,0.243021044,1.018402020,0.246975081
2.064689064,1.039575181,0.248238806,1.019797805,0.252346556
2.135811294,1.041192610,0.253326877,1.021191682,0.257587058
2.206933524,1.042806079,0.258293140,1.022583660,0.262704542
2.278055754,1.044415492,0.263144705,1.023973745,0.267706176
2.349177984,1.046020782,0.267888008,1.025361946,0.272598449
2.420300214,1.047621907,0.272528900,1.026748269,0.277387253
2.491422445,1.049218842,0.277072717,1.028132724,0.282077965
2.562544675,1.050811580,0.281524343,1.029515317,0.286675501
2.633666905,1.052400123,0.285888260,1.030896055,0.291184374
2.704789135,1.053984482,0.290168598,1.032274947,0.295608741
2.775911365,1.055564678,0.294369167,1.033651999,0.299952434
2.847033595,1.057140736,0.298493494,1.035027219,0.304219004
2.918155826,1.058712685,0.302544852,1.036400614,0.308411742
2.989278056,1.060280560,0.306526283,1.037772192,0.312533708
3.060400286,1.061844397,0.310440622,1.039141959,0.316587754
3.131522516,1.063404234,0.314290517,1.040509923,0.320576543
3.202644746,1.064960111,0.318078443,1.041876091,0.324502563
3.273766976,1.066512068,0.321806721,1.043240470,0.328368150
3.344889207,1.068060148,0.325477529,1.044603067,0.332175491
3.416011437,1.069604393,0.329092913,1.045963889,0.335926648
3.487133667,1.071144844,0.332654803,1.047322943,0.339623558
3.558255897,1.072681544,0.336165017,1.048680235,0.343268051
3.629378127,1.074214536,0.339625271,1.050035773,0.346861852
3.700500357,1.075743860,0.343037189,1.051389564,0.350406594
3.771622588,1.077269559,0.346402308,1.052741613,0.353903823
3.842744818,1.078791672,0.349722085,1.054091928,0.357355004
3.913867048,1.080310242,0.352997901,1.055440516,0.360761528
3.984989278,1.081825307,0.356231072,1.056787382,0.364124717
4.056111508,1.083336906,0.359422845,1.058132534,0.367445825
4.127233738,1.084845078,0.362574410,1.059475979,0.370726051
4.198355969,1.086349862,0.365686901,1.060817722,0.373966534
4.269478199,1.087851293,0.368761397,1.062157770,0.377168361
4.340600429,1.089349409,0.371798933,1.063496129,0.380332573
4.411722659,1.090844246,0.374800492,1.064832807,0.383460160
4.482844889,1.092335837,0.377767019,1.066167808,0.386552072
4.553967119,1.093824219,0.380699416,1.067501140,0.389609219
4.625089350,1.095309424,0.383598548,1.068832809,0.392632469
4.696211580,1.096791486,0.386465244,1.070162821,0.395622659
4.767333810,1.098270436,0.389300298,1.071491182,0.398580588
4.838456040,1.099746307,0.392104474,1.072817898,0.401507025
4.909578270,1.101219130,0.394878505,1.074142975,0.404402709
4.980700500,1.102688935,0.397623095,1.075466420,0.407268350
5.051822731,1.104155751,0.400338924,1.076788238,0.410104631
5.122944961,1.105619609,0.403026642,1.078108435,0.412912208
5.194067191,1.107080537,0.405686879,1.079427018,0.415691717
5.265189421,1.108538562,0.408320240,1.080743992,0.418443766
5.336311651,1.109993712,0.410927308,1.082059363,0.421168944
5.407433881,1.111446014,0.413508647,1.083373138,0.423867819
5.478556112,1.112895495,0.416064799,1.084685320,0.426540939
5.549678342,1.114342180,0.418596291,1.085995918,0.429188834
5.620800572,1.115786095,0.421103627,1.087304936,0.431812014
5.691922802,1.117227264,0.423587300,1.088612379,0.434410975
5.763045032,1.118665712,0.426047782,1.089918254,0.436986194
5.834167262,1.120101463,0.428485533,1.091222567,0.439538134
5.905289492,1.121534540,0.430900995,1.092525322,0.442067243
5.976411723,1.122964966,0.433294599,1.093826526,0.444573956
6.047533953,1.124392764,0.435666761,1.095126184,0.447058692
6.118656183,1.125817956,0.438017884,1.096424301,0.449521860
6.189778413,1.127240563,0.440348360,1.097720883,0.451963854
6.260900643,1.128660608,0.442658568,1.099015935,0.454385057
6.332022873,1.130078110,0.444948875,1.100309463,0.456785842
6.403145104,1.131493090,0.447219641,1.101601472,0.459166570
6.474267334,1.132905570,0.449471211,1.102891968,0.461527592
6.545389564,1.134315567,0.451703922,1.104180956,0.463869248
6.616511794,1.135723103,0.453918102,1.105468440,0.466191869
6.687634024,1.137128195,0.456114069,1.106754427,0.468495778
6.758756254,1.138530864,0.458292133,1.108038921,0.470781288
6.829878485,1.139931127,0.460452595,1.109321928,0.473048703
6.901000715,1.141329002,0.462595747,1.110603452,0.475298319
6.972122945,1.142724508,0.464721874,1.111883500,0.477530426
7.043245175,1.144117662,0.466831255,1.113162076,0.479745304
7.114367405,1.145508481,0.468924159,1.114439185,0.481943227
7.185489635,1.146896982,0.471000849,1.115714832,0.484124461
7.256611866,1.148283182,0.473061582,1.116989022,0.486289266
7.327734096,1.149667098,0.475106608,1.118261760,0.488437896
7.398856326,1.151048745,0.477136170,1.119533051,0.490570597
7.469978556,1.152428140,0.479150507,1.120802901,0.492687610
7.541100786,1.153805299,0.481149849,1.122071313,0.494789170
7.612223016,1.155180236,0.483134423,1.123338293,0.496875507
7.683345247,1.156552966,0.485104450,1.124603846,0.498946844
7.754467477,1.157923506,0.487060145,1.125867976,0.501003400
7.825589707,1.159291869,0.489001718,1.127130688,0.503045389
7.896711937,1.160658071,0.490929374,1.128391988,0.505073017
7.967834167,1.162022125,0.492843315,1.129651879,0.507086490
8.038956397,1.163384046,0.494743736,1.130910366,0.509086007
8.110078628,1.164743847,0.496630829,1.132167455,0.511071760
8.181200858,1.166101542,0.498504780,1.133423149,0.513043942
8.252323088,1.167457145,0.500365774,1.134677454,0.515002738
8.323445318,1.168810669,0.502213988,1.135930373,0.516948329
8.394567548,1.170162127,0.504049599,1.137181912,0.518880893
8.465689778,1.171511532,0.505872776,1.138432076,0.520800605
8.536812009,1.172858897,0.507683688,1.139680868,0.522707634
8.607934239,1.174204235,0.509482498,1.140928293,0.524602149
8.679056469,1.175547557,0.511269368,1.142174356,0.526484310
8.750178699,1.176888876,0.513044453,1.143419061,0.528354280
8.821300929,1.178228205,0.514807908,1.144662412,0.530212213
8.892423159,1.179565555,0.516559884,1.145904414,0.532058263
8.963545390,1.180900937,0.518300528,1.147145072,0.533892581
9.034667620,1.182234364,0.520029984,1.148384389,0.535715314
9.105789850,1.183565847,0.521748394,1.149622370,0.537526605
9.176912080,1.184895398,0.523455898,1.150859020,0.539326596
9.248034310,1.186223026,0.525152630,1.152094342,0.541115427
9.319156540,1.187548745,0.526838724,1.153328341,0.542893231
9.390278771,1.188872563,0.528514312,1.154561021,0.544660144
9.461401001,1.190194493,0.530179521,1.155792386,0.546416295
9.532523231,1.191514545,0.531834476,1.157022441,0.548161813
9.603645461,1.192832728,0.533479302,1.158251190,0.549896824
9.674767691,1.194149055,0.535114120,1.159478636,0.551621450
9.745889921,1.195463534,0.536739047,1.160704785,0.553335813
9.817012152,1.196776177,0.538354201,1.161929639,0.555040033
9.888134382,1.198086992,0.539959696,1.163153204,0.556734225
9.959256612,1.199395991,0.541555644,1.164375483,0.558418504
10.030378842,1.200703182,0.543142155,1.165596480,0.560092983
10.101501072,1.202008576,0.544719338,1.166816199,0.561757773
10.172623302,1.203312181,0.546287298,1.168034645,0.563412981
10.243745533,1.204614008,0.547846141,1.169251821,0.565058715
10.314867763,1.205914066,0.549395969,1.170467732,0.566695078
10.385989993,1.207212363,0.550936882,1.171682380,0.568322175
10.457112223,1.208508910,0.552468979,1.172895771,0.569940106
10.528234453,1.209803714,0.553992358,1.174107907,0.571548971
10.599356683,1.211096786,0.555507114,1.175318794,0.573148867
10.670478914,1.212388133,0.557013341,1.176528434,0.574739890
10.741601144,1.213677765,0.558511131,1.177736832,0.576322136
10.812723374,1.214965691,0.560000576,1.178943991,0.577895695
10.883845604,1.216251918,0.561481764,1.180149916,0.579460661
10.954967834,1.217536455,0.562954782,1.181354609,0.581017123
11.026090064,1.218819311,0.564419719,1.182558076,0.582565169
11.097212294,1.220100494,0.565876657,1.183760319,0.584104885
11.168334525,1.221380011,0.567325681,1.184961342,0.585636359
11.239456755,1.222657872,0.568766873,1.186161148,0.587159673
11.310578985,1.223934085,0.570200313,1.187359743,0.588674910
11.381701215,1.225208656,0.571626082,1.188557129,0.590182153
11.452823445,1.226481594,0.573044257,1.189753310,0.591681480
11.523945675,1.227752908,0.574454915,1.190948289,0.593172971
11.595067906,1.229022603,0.575858133,1.192142070,0.594656705
11.666190136,1.230290689,0.577253984,1.193334658,0.596132756
11.737312366,1.231557173,0.578642542,1.194526054,0.597601201
11.808434596,1.232822062,0.580023880,1.195716264,0.599062113
11.879556826,1.234085363,0.581398068,1.196905290,0.600515567
11.950679056,1.235347084,0.582765177,1.198093136,0.601961633
12.021801287,1.236607233,0.584125276,1.199279805,0.603400382
12.092923517,1.237865816,0.585478433,1.200465302,0.604831885
12.164045747,1.239122840,0.586824714,1.201649629,0.606256211
12.235167977,1.240378314,0.588164186,1.202832789,0.607673426
12.306290207,1.241632242,0.589496914,1.204014787,0.609083597
12.377412437,1.242884633,0.590822961,1.205195626,0.610486791
12.448534668,1.244135494,0.592142391,1.206375309,0.611883073
12.519656898,1.245384831,0.593455267,1.207553840,0.613272505
12.590779128,1.246632651,0.594761648,1.208731221,0.614655152
12.661901358,1.247878960,0.596061596,1.209907457,0.616031075
12.733023588,1.249123766,0.597355171,1.211082550,0.617400336
12.804145818,1.250367075,0.598642430,1.212256505,0.618762994
12.875268049,1.251608893,0.599923432,1.213429323,0.620119110
12.946390279,1.252849226,0.601198234,1.214601009,0.621468741
13.017512509,1.254088082,0.602466892,1.215771566,0.622811947
13.088634739,1.255325466,0.603729461,1.216940997,0.624148784
13.159756969,1.256561385,0.604985996,1.218109305,0.625479307
13.230879199,1.257795846,0.606236551,1.219276494,0.626803574
13.302001430,1.259028853,0.607481180,1.220442566,0.628121638
13.373123660,1.260260413,0.608719934,1.221607526,0.629433554
13.444245890,1.261490533,0.609952866,1.222771375,0.630739374
13.515368120,1.262719218,0.611180025,1.223934118,0.632039152
13.586490350,1.263946475,0.612401464,1.225095757,0.633332940
13.657612580,1.265172309,0.613617231,1.226256296,0.634620787
13.728734811,1.266396726,0.614827376,1.227415737,0.635902746
13.799857041,1.267619731,0.616031947,1.228574085,0.637178866
13.870979271,1.268841332,0.617230991,1.229731341,0.638449196
13.942101501,1.270061533,0.618424556,1.230887509,0.639713785
14.013223731,1.271280340,0.619612688,1.232042592,0.640972681
14.084345961,1.272497758,0.620795433,1.233196594,0.642225930
14.155468192,1.273713794,0.621972837,1.234349516,0.643473581
14.226590422,1.274928453,0.623144944,1.235501363,0.644715678
