K,rho1,ang1,rho2,ang2,rho3,ang3
0.790000000,0.999879677,0.081425267,0.999854378,0.100611955,0.996353700,0.081714063
0.790004000,0.999879698,0.081425472,0.999854404,0.100612209,0.996353713,0.081714270
0.790008001,0.999879719,0.081425678,0.999854429,0.100612463,0.996353725,0.081714477
0.790012001,0.999879741,0.081425884,0.999854455,0.100612717,0.996353738,0.081714684
0.790016002,0.999879762,0.081426090,0.999854481,0.100612970,0.996353750,0.081714892
0.790020002,0.999879783,0.081426295,0.999854506,0.100613224,0.996353763,0.081715099
0.790024002,0.999879804,0.081426501,0.999854532,0.100613478,0.996353775,0.081715306
0.790028003,0.999879826,0.081426707,0.999854557,0.100613731,0.996353787,0.081715513
0.790032003,0.999879847,0.081426913,0.999854583,0.100613985,0.996353800,0.081715720
0.790036004,0.999879868,0.081427118,0.999854609,0.100614239,0.996353812,0.081715928
0.790040004,0.999879889,0.081427324,0.999854634,0.100614492,0.996353825,0.081716135
0.790044004,0.999879911,0.081427530,0.999854660,0.100614746,0.996353837,0.081716342
0.790048005,0.999879932,0.081427735,0.999854685,0.100615000,0.996353850,0.081716549
0.790052005,0.999879953,0.081427941,0.999854711,0.100615253,0.996353862,0.081716756
0.790056006,0.999879974,0.081428147,0.999854737,0.100615507,0.996353874,0.081716963
0.790060006,0.999879996,0.081428353,0.999854762,0.100615761,0.996353887,0.081717171
0.790064006,0.999880017,0.081428558,0.999854788,0.100616015,0.996353899,0.081717378
0.790068007,0.999880038,0.081428764,0.999854814,0.100616268,0.996353912,0.081717585
0.790072007,0.999880059,0.081428970,0.999854839,0.100616522,0.996353924,0.081717792
0.790076008,0.999880081,0.081429175,0.999854865,0.100616776,0.996353937,0.081717999
0.790080008,0.999880102,0.081429381,0.999854890,0.100617029,0.996353949,0.081718206
0.790084008,0.999880123,0.081429587,0.999854916,0.100617283,0.996353961,0.081718414
0.790088009,0.999880145,0.081429793,0.999854942,0.100617537,0.996353974,0.081718621
0.790092009,0.999880166,0.081429998,0.999854967,0.100617790,0.996353986,0.081718828
0.790096010,0.999880187,0.081430204,0.999854993,0.100618044,0.996353999,0.081719035
0.790100010,0.999880208,0.081430410,0.999855018,0.100618298,0.996354011,0.081719242
0.790104010,0.999880230,0.081430615,0.999855044,0.100618551,0.996354024,0.081719449
0.790108011,0.999880251,0.081430821,0.999855070,0.100618805,0.996354036,0.081719657
0.790112011,0.999880272,0.081431027,0.999855095,0.100619059,0.996354049,0.081719864
0.790116012,0.999880293,0.081431233,0.999855121,0.100619313,0.996354061,0.081720071
0.790120012,0.999880315,0.081431438,0.999855146,0.100619566,0.996354073,0.081720278
0.790124012,0.999880336,0.081431644,0.999855172,0.100619820,0.996354086,0.081720485
0.790128013,0.999880357,0.081431850,0.999855198,0.100620074,0.996354098,0.081720692
0.790132013,0.999880378,0.081432055,0.999855223,0.100620327,0.996354111,0.081720900
0.790136014,0.999880400,0.081432261,0.999855249,0.100620581,0.996354123,0.081721107
0.790140014,0.999880421,0.081432467,0.999855274,0.100620835,0.996354136,0.081721314
0.790144014,0.999880442,0.081432673,0.999855300,0.100621088,0.996354148,0.081721521
0.790148015,0.999880463,0.081432878,0.999855326,0.100621342,0.996354160,0.081721728
0.790152015,0.999880485,0.081433084,0.999855351,0.100621596,0.996354173,0.081721935
0.790156016,0.999880506,0.081433290,0.999855377,0.100621849,0.996354185,0.081722143
0.790160016,0.999880527,0.081433495,0.999855403,0.100622103,0.996354198,0.081722350
0.790164016,0.999880548,0.081433701,0.999855428,0.100622357,0.996354210,0.081722557
0.790168017,0.999880570,0.081433907,0.999855454,0.100622610,0.996354223,0.081722764
0.790172017,0.999880591,0.081434113,0.999855479,0.100622864,0.996354235,0.081722971
0.790176018,0.999880612,0.081434318,0.999855505,0.100623118,0.996354247,0.081723178
0.790180018,0.999880634,0.081434524,0.999855531,0.100623371,0.996354260,0.081723385
0.790184018,0.999880655,0.081434730,0.999855556,0.100623625,0.996354272,0.081723593
0.790188019,0.999880676,0.081434935,0.999855582,0.100623879,0.996354285,0.081723800
0.790192019,0.999880697,0.081435141,0.999855607,0.100624132,0.996354297,0.081724007
0.790196020,0.999880719,0.081435347,0.999855633,0.100624386,0.996354310,0.081724214
0.790200020,0.999880740,0.081435552,0.999855659,0.100624640,0.996354322,0.081724421
0.790204020,0.999880761,0.081435758,0.999855684,0.100624893,0.996354334,0.081724628
0.790208021,0.999880782,0.081435964,0.999855710,0.100625147,0.996354347,0.081724836
0.790212021,0.999880804,0.081436170,0.999855735,0.100625401,0.996354359,0.081725043
0.790216022,0.999880825,0.081436375,0.999855761,0.100625654,0.996354372,0.081725250
0.790220022,0.999880846,0.081436581,0.999855787,0.100625908,0.996354384,0.081725457
0.790224022,0.999880867,0.081436787,0.999855812,0.100626162,0.996354397,0.081725664
0.790228023,0.999880889,0.081436992,0.999855838,0.100626415,0.996354409,0.081725871
0.790232023,0.999880910,0.081437198,0.999855863,0.100626669,0.996354421,0.081726078
0.790236024,0.999880931,0.081437404,0.999855889,0.100626923,0.996354434,0.081726286
