K,rho1,ang1,rho2,ang2,rho3,ang3
0.000130000,0.999909038,0.000001644,0.999888010,0.000000000,0.990115990,0.000000000
0.000410508,0.999706779,0.000005417,0.999637155,0.000000000,0.990366845,0.000000000
0.000691015,0.999495428,0.000009549,0.999371924,0.000000000,0.990632076,0.000000000
0.000971523,0.999273639,0.000014125,0.999089518,0.000000000,0.990914482,0.000000000
0.001252030,0.999039694,0.000019263,0.998786095,0.000000000,0.991217905,0.000000000
0.001532538,0.998791344,0.000025130,0.998456120,0.000000000,0.991547880,0.000000000
0.001813045,0.998525551,0.000031981,0.998091096,0.000000000,0.991912904,0.000000000
0.002093553,0.998238032,0.000040221,0.997676712,0.000000000,0.992327288,0.000000000
0.002374060,0.997922399,0.000050556,0.997185038,0.000000000,0.992818962,0.000000000
0.002654568,0.997568360,0.000064351,0.996543824,0.000000000,0.993460176,0.000000000
0.002935075,0.997157256,0.000084757,0.995002006,0.000106400,0.992846751,0.000085125
0.003215583,0.996647780,0.000121666,0.995003206,0.001556857,0.993356235,0.000122069
0.003496090,0.995900929,0.000242368,0.995004406,0.002199153,0.994103129,0.000242806
0.003776598,0.995213213,0.001118319,0.995005606,0.002692349,0.994792032,0.001118793
0.004057105,0.995145262,0.001785894,0.995006806,0.003108247,0.994861912,0.001786403
0.004337613,0.995123801,0.002268668,0.995008007,0.003474716,0.994885321,0.002269211
0.004618120,0.995113568,0.002666015,0.995009207,0.003806060,0.994897506,0.002666594
0.004898628,0.995107958,0.003011578,0.995010407,0.004110782,0.994905069,0.003012192
0.005179135,0.995104737,0.003321462,0.995011607,0.004394423,0.994910242,0.003322112
0.005459643,0.995102922,0.003604846,0.995012807,0.004660834,0.994914011,0.003605530
0.005740151,0.995102006,0.003867543,0.995014008,0.004912819,0.994916880,0.003868263
0.006020658,0.995101701,0.004113511,0.995015208,0.005152494,0.994919139,0.004114266
0.006301166,0.995101829,0.004345587,0.995016408,0.005381504,0.994920965,0.004346377
0.006581673,0.995102274,0.004565887,0.995017608,0.005601158,0.994922473,0.004566712
0.006862181,0.995102958,0.004776040,0.995018808,0.005812517,0.994923743,0.004776900
0.007142688,0.995103825,0.004977330,0.995020009,0.006016455,0.994924829,0.004978225
0.007423196,0.995104837,0.005170791,0.995021209,0.006213702,0.994925772,0.005171722
0.007703703,0.995105963,0.005357272,0.995022409,0.006404877,0.994926600,0.005358237
0.007984211,0.995107180,0.005537476,0.995023609,0.006590508,0.994927336,0.005538477
