K,rho1,ang1,rho2,ang2,rho3,ang3
0.239800000,0.999987688,0.088457293,0.999985522,0.097968845,0.998219722,0.088614373
0.239800047,0.999987689,0.088457302,0.999985523,0.097968854,0.998219722,0.088614381
0.239800093,0.999987689,0.088457310,0.999985524,0.097968864,0.998219723,0.088614390
0.239800140,0.999987690,0.088457319,0.999985525,0.097968873,0.998219724,0.088614398
0.239800187,0.999987691,0.088457328,0.999985525,0.097968883,0.998219724,0.088614407
0.239800233,0.999987692,0.088457336,0.999985526,0.097968892,0.998219725,0.088614416
0.239800280,0.999987693,0.088457345,0.999985527,0.097968902,0.998219726,0.088614424
0.239800327,0.999987694,0.088457353,0.999985528,0.097968911,0.998219726,0.088614433
0.239800373,0.999987695,0.088457362,0.999985529,0.097968921,0.998219727,0.088614442
0.239800420,0.999987695,0.088457370,0.999985530,0.097968930,0.998219728,0.088614450
0.239800467,0.999987696,0.088457379,0.999985531,0.097968940,0.998219728,0.088614459
0.239800513,0.999987697,0.088457388,0.999985532,0.097968949,0.998219729,0.088614467
0.239800560,0.999987698,0.088457396,0.999985533,0.097968959,0.998219730,0.088614476
0.239800607,0.999987699,0.088457405,0.999985534,0.097968968,0.998219731,0.088614485
0.239800653,0.999987700,0.088457413,0.999985535,0.097968978,0.998219731,0.088614493
0.239800700,0.999987701,0.088457422,0.999985536,0.097968987,0.998219732,0.088614502
0.239800747,0.999987701,0.088457431,0.999985537,0.097968997,0.998219733,0.088614510
0.239800793,0.999987702,0.088457439,0.999985538,0.097969006,0.998219733,0.088614519
0.239800840,0.999987703,0.088457448,0.999985539,0.097969016,0.998219734,0.088614528
0.239800887,0.999987704,0.088457456,0.999985539,0.097969025,0.998219735,0.088614536
0.239800933,0.999987705,0.088457465,0.999985540,0.097969034,0.998219735,0.088614545
0.239800980,0.999987706,0.088457473,0.999985541,0.097969044,0.998219736,0.088614553
0.239801027,0.999987706,0.088457482,0.999985542,0.097969053,0.998219737,0.088614562
0.239801073,0.999987707,0.088457491,0.999985543,0.097969063,0.998219737,0.088614571
0.239801120,0.999987708,0.088457499,0.999985544,0.097969072,0.998219738,0.088614579
0.239801167,0.999987709,0.088457508,0.999985545,0.097969082,0.998219739,0.088614588
0.239801213,0.999987710,0.088457516,0.999985546,0.097969091,0.998219739,0.088614597
0.239801260,0.999987711,0.088457525,0.999985547,0.097969101,0.998219740,0.088614605
0.239801307,0.999987712,0.088457533,0.999985548,0.097969110,0.998219741,0.088614614
0.239801353,0.999987712,0.088457542,0.999985549,0.097969120,0.998219741,0.088614622
0.239801400,0.999987713,0.088457551,0.999985550,0.097969129,0.998219742,0.088614631
0.239801447,0.999987714,0.088457559,0.999985551,0.097969139,0.998219743,0.088614640
0.239801493,0.999987715,0.088457568,0.999985552,0.097969148,0.998219743,0.088614648
0.239801540,0.999987716,0.088457576,0.999985553,0.097969158,0.998219744,0.088614657
0.239801587,0.999987717,0.088457585,0.999985553,0.097969167,0.998219745,0.088614665
0.239801633,0.999987717,0.088457594,0.999985554,0.097969177,0.998219745,0.088614674
0.239801680,0.999987718,0.088457602,0.999985555,0.097969186,0.998219746,0.088614683
0.239801727,0.999987719,0.088457611,0.999985556,0.097969196,0.998219747,0.088614691
0.239801773,0.999987720,0.088457619,0.999985557,0.097969205,0.998219747,0.088614700
0.239801820,0.999987721,0.088457628,0.999985558,0.097969215,0.998219748,0.088614708
0.239801867,0.999987722,0.088457636,0.999985559,0.097969224,0.998219749,0.088614717
0.239801913,0.999987723,0.088457645,0.999985560,0.097969234,0.998219749,0.088614726
0.239801960,0.999987723,0.088457654,0.999985561,0.097969243,0.998219750,0.088614734
0.239802007,0.999987724,0.088457662,0.999985562,0.097969253,0.998219751,0.088614743
0.239802053,0.999987725,0.088457671,0.999985563,0.097969262,0.998219752,0.088614751
0.239802100,0.999987726,0.088457679,0.999985564,0.097969272,0.998219752,0.088614760
0.239802147,0.999987727,0.088457688,0.999985565,0.097969281,0.998219753,0.088614769
0.239802193,0.999987728,0.088457696,0.999985566,0.097969291,0.998219754,0.088614777
0.239802240,0.999987728,0.088457705,0.999985567,0.097969300,0.998219754,0.088614786
0.239802287,0.999987729,0.088457714,0.999985567,0.097969310,0.998219755,0.088614795
0.239802333,0.999987730,0.088457722,0.999985568,0.097969319,0.998219756,0.088614803
0.239802380,0.999987731,0.088457731,0.999985569,0.097969329,0.998219756,0.088614812
0.239802427,0.999987732,0.088457739,0.999985570,0.097969338,0.998219757,0.088614820
0.239802473,0.999987733,0.088457748,0.999985571,0.097969348,0.998219758,0.088614829
0.239802520,0.999987734,0.088457757,0.999985572,0.097969357,0.998219758,0.088614838
0.239802567,0.999987734,0.088457765,0.999985573,0.097969367,0.998219759,0.088614846
0.239802613,0.999987735,0.088457774,0.999985574,0.097969376,0.998219760,0.088614855
0.239802660,0.999987736,0.088457782,0.999985575,0.097969386,0.998219760,0.088614863
0.239802707,0.999987737,0.088457791,0.999985576,0.097969395,0.998219761,0.088614872
0.239802753,0.999987738,0.088457799,0.999985577,0.097969405,0.998219762,0.088614881
0.239802800,0.999987739,0.088457808,0.999985578,0.097969414,0.998219762,0.088614889
0.239802847,0.999987739,0.088457817,0.999985579,0.097969424,0.998219763,0.088614898
0.239802893,0.999987740,0.088457825,0.999985580,0.097969433,0.998219764,0.088614906
0.239802940,0.999987741,0.088457834,0.999985581,0.097969443,0.998219764,0.088614915
0.239802987,0.999987742,0.088457842,0.999985581,0.097969452,0.998219765,0.088614924
0.239803033,0.999987743,0.088457851,0.999985582,0.097969462,0.998219766,0.088614932
0.239803080,0.999987744,0.088457860,0.999985583,0.097969471,0.998219766,0.088614941
0.239803127,0.999987745,0.088457868,0.999985584,0.097969481,0.998219767,0.088614950
0.239803173,0.999987745,0.088457877,0.999985585,0.097969490,0.998219768,0.088614958
0.239803220,0.999987746,0.088457885,0.999985586,0.097969500,0.998219768,0.088614967
0.239803267,0.999987747,0.088457894,0.999985587,0.097969509,0.998219769,0.088614975
0.239803313,0.999987748,0.088457902,0.999985588,0.097969519,0.998219770,0.088614984
0.239803360,0.999987749,0.088457911,0.999985589,0.097969528,0.998219770,0.088614993
0.239803407,0.999987750,0.088457920,0.999985590,0.097969538,0.998219771,0.088615001
0.239803453,0.999987750,0.088457928,0.999985591,0.097969547,0.998219772,0.088615010
0.239803500,0.999987751,0.088457937,0.999985592,0.097969557,0.998219773,0.088615018
0.239803547,0.999987752,0.088457945,0.999985593,0.097969566,0.998219773,0.088615027
0.239803593,0.999987753,0.088457954,0.999985594,0.097969576,0.998219774,0.088615036
0.239803640,0.999987754,0.088457962,0.999985595,0.097969585,0.998219775,0.088615044
0.239803687,0.999987755,0.088457971,0.999985595,0.097969595,0.998219775,0.088615053
0.239803733,0.999987756,0.088457980,0.999985596,0.097969604,0.998219776,0.088615061
0.239803780,0.999987756,0.088457988,0.999985597,0.097969614,0.998219777,0.088615070
0.239803827,0.999987757,0.088457997,0.999985598,0.097969623,0.998219777,0.088615079
0.239803873,0.999987758,0.088458005,0.999985599,0.097969633,0.998219778,0.088615087
0.239803920,0.999987759,0.088458014,0.999985600,0.097969642,0.998219779,0.088615096
0.239803967,0.999987760,0.088458023,0.999985601,0.097969652,0.998219779,0.088615105
0.239804013,0.999987761,0.088458031,0.999985602,0.097969661,0.998219780,0.088615113
0.239804060,0.999987762,0.088458040,0.999985603,0.097969671,0.998219781,0.088615122
0.239804107,0.999987762,0.088458048,0.999985604,0.097969680,0.998219781,0.088615130
0.239804153,0.999987763,0.088458057,0.999985605,0.097969690,0.998219782,0.088615139
0.239804200,0.999987764,0.088458065,0.999985606,0.097969699,0.998219783,0.088615148
0.239804247,0.999987765,0.088458074,0.999985607,0.097969709,0.998219783,0.088615156
0.239804293,0.999987766,0.088458083,0.999985608,0.097969718,0.998219784,0.088615165
0.239804340,0.999987767,0.088458091,0.999985609,0.097969728,0.998219785,0.088615173
0.239804387,0.999987767,0.088458100,0.999985609,0.097969737,0.998219785,0.088615182
0.239804433,0.999987768,0.088458108,0.999985610,0.097969747,0.998219786,0.088615191
0.239804480,0.999987769,0.088458117,0.999985611,0.097969756,0.998219787,0.088615199
0.239804527,0.999987770,0.088458126,0.999985612,0.097969766,0.998219787,0.088615208
0.239804573,0.999987771,0.088458134,0.999985613,0.097969775,0.998219788,0.088615216
0.239804620,0.999987772,0.088458143,0.999985614,0.097969785,0.998219789,0.088615225
0.239804667,0.999987773,0.088458151,0.999985615,0.097969794,0.998219789,0.088615234
0.239804713,0.999987773,0.088458160,0.999985616,0.097969804,0.998219790,0.088615242
0.239804760,0.999987774,0.088458168,0.999985617,0.097969813,0.998219791,0.088615251
0.239804807,0.999987775,0.088458177,0.999985618,0.097969823,0.998219791,0.088615260
0.239804853,0.999987776,0.088458186,0.999985619,0.097969832,0.998219792,0.088615268
0.239804900,0.999987777,0.088458194,0.999985620,0.097969842,0.998219793,0.088615277
0.239804947,0.999987778,0.088458203,0.999985621,0.097969851,0.998219794,0.088615285
0.239804993,0.999987778,0.088458211,0.999985622,0.097969861,0.998219794,0.088615294
0.239805040,0.999987779,0.088458220,0.999985623,0.097969870,0.998219795,0.088615303
0.239805087,0.999987780,0.088458228,0.999985623,0.097969880,0.998219796,0.088615311
0.239805134,0.999987781,0.088458237,0.999985624,0.097969889,0.998219796,0.088615320
0.239805180,0.999987782,0.088458246,0.999985625,0.097969899,0.998219797,0.088615328
0.239805227,0.999987783,0.088458254,0.999985626,0.097969908,0.998219798,0.088615337
0.239805274,0.999987784,0.088458263,0.999985627,0.097969918,0.998219798,0.088615346
0.239805320,0.999987784,0.088458271,0.999985628,0.097969927,0.998219799,0.088615354
0.239805367,0.999987785,0.088458280,0.999985629,0.097969937,0.998219800,0.088615363
0.239805414,0.999987786,0.088458289,0.999985630,0.097969946,0.998219800,0.088615371
0.239805460,0.999987787,0.088458297,0.999985631,0.097969956,0.998219801,0.088615380
0.239805507,0.999987788,0.088458306,0.999985632,0.097969965,0.998219802,0.088615389
0.239805554,0.999987789,0.088458314,0.999985633,0.097969975,0.998219802,0.088615397
0.239805600,0.999987789,0.088458323,0.999985634,0.097969984,0.998219803,0.088615406
0.239805647,0.999987790,0.088458331,0.999985635,0.097969993,0.998219804,0.088615415
0.239805694,0.999987791,0.088458340,0.999985636,0.097970003,0.998219804,0.088615423
0.239805740,0.999987792,0.088458349,0.999985637,0.097970012,0.998219805,0.088615432
0.239805787,0.999987793,0.088458357,0.999985637,0.097970022,0.998219806,0.088615440
0.239805834,0.999987794,0.088458366,0.999985638,0.097970031,0.998219806,0.088615449
0.239805880,0.999987795,0.088458374,0.999985639,0.097970041,0.998219807,0.088615458
0.239805927,0.999987795,0.088458383,0.999985640,0.097970050,0.998219808,0.088615466
