K,abs_lam_max,arg_lam_max,r_mean,F_mean
1.550000,0.993989,2.473451,0.999851,-2.094395
1.570000,0.978456,2.491891,0.996168,-2.094395
1.590000,0.949852,0.000000,0.092471,-2.094395
1.610000,0.927018,0.000000,0.087509,-2.094395
1.630000,0.909219,0.000000,0.083828,-2.094395
1.650000,0.893904,0.000000,0.080804,-2.094395
1.670000,0.880120,0.000000,0.078201,-2.094395
1.690000,0.867390,0.000000,0.075898,-2.094395
1.710000,0.855435,0.000000,0.073824,-2.094395
1.730000,0.844073,0.000000,0.071932,-2.094395
1.750000,0.833183,0.000000,0.070189,-2.094395
1.770000,0.822673,0.000000,0.068572,-2.094395
1.790000,0.812478,0.000000,0.067062,-2.094395
1.810000,0.802546,0.000000,0.065646,-2.094395
1.830000,0.792836,0.000000,0.064311,-2.094395
1.850000,0.783315,0.000000,0.063050,-2.094395
1.870000,0.773956,0.000000,0.061854,-2.094395
1.890000,0.764738,0.000000,0.060717,-2.094395
1.910000,0.755640,0.000000,0.059633,-2.094395
1.930000,0.746647,0.000000,0.058598,-2.094395
1.950000,0.737744,0.000000,0.057608,-2.094395
1.970000,0.728920,0.000000,0.056659,-2.094395
1.990000,0.720163,0.000000,0.055749,-2.094395
2.010000,0.711465,0.000000,0.054873,-2.094395
2.030000,0.702816,0.000000,0.054031,-2.094395
2.050000,0.694208,0.000000,0.053219,-2.094395
2.070000,0.685635,0.000000,0.052437,-2.094395
2.090000,0.677091,0.000000,0.051681,-2.094395
2.110000,0.668568,0.000000,0.050950,-2.094395
2.130000,0.660062,0.000000,0.050244,-2.094395
2.150000,0.651567,0.000000,0.049560,-2.094395
