K,rho,angle,label
1.000000000,0.984885780,0.103419784,complex
1.016032064,0.984885780,0.179133703,complex
1.032064128,0.984885780,0.180555467,complex
1.048096192,0.984885780,0.181966243,complex
1.064128257,0.984885780,0.106757196,complex
1.080160321,0.984885780,0.184755834,complex
1.096192385,0.984885780,0.108387515,complex
1.112224449,0.984885780,0.187504394,complex
1.128256513,0.984885780,0.188863849,complex
1.144288577,0.984885780,0.190213702,complex
1.160320641,0.984885780,0.191554158,complex
1.176352705,0.984885780,0.192885412,complex
1.192384770,0.984885780,0.194207653,complex
1.208416834,0.984885780,0.195521065,complex
1.224448898,0.984885780,0.114678143,complex
1.240480962,0.984885780,0.198122100,complex
1.256513026,0.984885780,0.199410060,complex
1.272545090,0.984885780,0.116950287,complex
1.288577154,0.984885780,0.201961667,complex
1.304609218,0.984885780,0.203225618,complex
1.320641283,0.984885780,0.119179316,complex
1.336673347,0.984885780,0.205730546,complex
1.352705411,0.984885780,0.120642563,complex
1.368737475,0.984885780,0.208205760,complex
1.384769539,0.984885780,0.122088358,complex
1.400801603,0.984885780,0.210652308,complex
1.416833667,0.984885780,0.211865144,complex
1.432865731,0.984885780,0.124225660,complex
1.448897796,0.984885780,0.214270528,complex
1.464929860,0.984885780,0.215463303,complex
1.480961924,0.984885780,0.216649613,complex
1.496993988,0.984885780,0.217829563,complex
1.513026052,0.984885780,0.219003256,complex
1.529058116,0.984885780,0.128394112,complex
1.545090180,0.984885780,0.129075837,complex
1.561122244,0.984885780,0.222487781,complex
1.577154309,0.984885780,0.223637422,complex
1.593186373,0.984885780,0.224781280,complex
1.609218437,0.984885780,0.225919445,complex
1.625250501,0.984885780,0.132432121,complex
1.641282565,0.984885780,0.228179032,complex
1.657314629,0.984885780,0.229300620,complex
1.673346693,0.984885780,0.230416844,complex
1.689378758,0.984885780,0.231527781,complex
1.705410822,0.984885780,0.135705896,complex
1.721442886,0.984885780,0.233734099,complex
1.737474950,0.984885780,0.234829625,complex
1.753507014,0.984885780,0.137633012,complex
1.769539078,0.984885780,0.237005765,complex
1.785571142,0.984885780,0.238086516,complex
1.801603206,0.984885780,0.239162475,complex
1.817635271,0.984885780,0.140161547,complex
1.833667335,0.984885780,0.241300274,complex
1.849699399,0.984885780,0.242362239,complex
1.865731463,0.984885780,0.243419661,complex
1.881763527,0.984885780,0.244472601,complex
1.897795591,0.984885780,0.143259874,complex
1.913827655,0.984885780,0.143871586,complex
1.929859719,0.984885780,0.247605090,complex
1.945891784,0.984885780,0.145087328,complex
1.961923848,0.984885780,0.249672025,complex
1.977955912,0.984885780,0.250699234,complex
1.993987976,0.984885780,0.251722340,complex
2.010020040,0.984885780,0.252741391,complex
2.026052104,0.984885780,0.253756437,complex
2.042084168,0.984885780,0.148675331,complex
2.058116232,0.984885780,0.255774705,complex
2.074148297,0.984885780,0.256778019,complex
2.090180361,0.984885780,0.257777515,complex
2.106212425,0.984885780,0.258773235,complex
2.122244489,0.984885780,0.259765224,complex
2.138276553,0.984885780,0.260753524,complex
2.154308617,0.984885780,0.261738177,complex
2.170340681,0.984885780,0.262719224,complex
2.186372745,0.984885780,0.263696705,complex
2.202404810,0.984885780,0.264670660,complex
2.218436874,0.984885780,0.265641127,complex
2.234468938,0.984885780,0.266608145,complex
2.250501002,0.984885780,0.267571751,complex
2.266533066,0.984885780,0.156730528,complex
2.282565130,0.984885780,0.157290238,complex
2.298597194,0.984885780,0.270442463,complex
2.314629259,0.984885780,0.271392782,complex
2.330661323,0.984885780,0.272339867,complex
2.346693387,0.984885780,0.159509599,complex
2.362725451,0.984885780,0.274224467,complex
2.378757515,0.984885780,0.275162048,complex
2.394789579,0.984885780,0.276096526,complex
2.410821643,0.984885780,0.277027932,complex
2.426853707,0.984885780,0.162241471,complex
2.442885772,0.984885780,0.278881650,complex
2.458917836,0.984885780,0.163321535,complex
2.474949900,0.984885780,0.163858922,complex
2.490981964,0.984885780,0.164394567,complex
2.507014028,0.984885780,0.282553549,complex
2.523046092,0.984885780,0.283464289,complex
2.539078156,0.984885780,0.284372190,complex
2.555110220,0.984885780,0.285277279,complex
2.571142285,0.984885780,0.286179584,complex
2.587174349,0.984885780,0.287079130,complex
2.603206413,0.984885780,0.287975944,complex
2.619238477,0.984885780,0.288870051,complex
2.635270541,0.984885780,0.169139745,complex
2.651302605,0.984885780,0.290650244,complex
2.667334669,0.984885780,0.291536379,complex
2.683366733,0.984885780,0.170692432,complex
2.699398798,0.984885780,0.293300845,complex
2.715430862,0.984885780,0.294179223,complex
