K,rho,angle,label
0.850000000,0.998278472,0.163284805,complex
0.852100840,0.998311351,0.163484585,complex
0.854201681,0.998344228,0.163684104,complex
0.856302521,0.998377104,0.163883363,complex
0.858403361,0.998409980,0.164082362,complex
0.860504202,0.998442854,0.164281103,complex
0.862605042,0.998475727,0.164479586,complex
0.864705882,0.998508599,0.164677812,complex
0.866806723,0.998541470,0.164875783,complex
0.868907563,0.998574340,0.165073499,complex
0.871008403,0.998607208,0.165270961,complex
0.873109244,0.998640076,0.165468170,complex
0.875210084,0.998672943,0.165665127,complex
0.877310924,0.998705808,0.165861833,complex
0.879411765,0.998738673,0.166058289,complex
0.881512605,0.998771536,0.166254495,complex
0.883613445,0.998804398,0.166450453,complex
0.885714286,0.998837259,0.166646163,complex
0.887815126,0.998870119,0.166841627,complex
0.889915966,0.998902978,0.167036845,complex
0.892016807,0.998935836,0.167231817,complex
0.894117647,0.998968693,0.167426546,complex
0.896218487,0.999001549,0.167621031,complex
0.898319328,0.999034404,0.167815274,complex
0.900420168,0.999067257,0.168009275,complex
0.902521008,0.999100110,0.168203035,complex
0.904621849,0.999132961,0.168396556,complex
0.906722689,0.999165812,0.168589837,complex
0.908823529,0.999198661,0.168782881,complex
0.910924370,0.999231509,0.168975686,complex
0.913025210,0.999264356,0.169168255,complex
0.915126050,0.999297202,0.169360589,complex
0.917226891,0.999330047,0.169552687,complex
0.919327731,0.999362891,0.169744551,complex
0.921428571,0.999395734,0.169936182,complex
0.923529412,0.999428576,0.170127580,complex
0.925630252,0.999461416,0.170318746,complex
0.927731092,0.999494256,0.170509681,complex
0.929831933,0.999527094,0.170700386,complex
0.931932773,0.999559932,0.170890861,complex
0.934033613,0.999592768,0.171081107,complex
0.936134454,0.999625604,0.171271126,complex
0.938235294,0.999658438,0.171460917,complex
0.940336134,0.999691271,0.171650482,complex
0.942436975,0.999724103,0.171839821,complex
0.944537815,0.999756934,0.172028935,complex
0.946638655,0.999789764,0.172217825,complex
0.948739496,0.999822592,0.172406492,complex
0.950840336,0.999855420,0.172594936,complex
0.952941176,0.999888247,0.172783158,complex
0.955042017,0.999921072,0.172971158,complex
0.957142857,0.999953897,0.173158938,complex
0.959243697,0.999986720,0.173346498,complex
0.961344538,1.000019543,0.173533839,complex
0.963445378,1.000052364,0.173720961,complex
0.965546218,1.000085184,0.173907866,complex
0.967647059,1.000118003,0.174094554,complex
0.969747899,1.000150821,0.174281026,complex
0.971848739,1.000183638,0.174467282,complex
0.973949580,1.000216454,0.174653323,complex
0.976050420,1.000249269,0.174839149,complex
0.978151261,1.000282082,0.175024763,complex
0.980252101,1.000314895,0.175210163,complex
0.982352941,1.000347707,0.175395351,complex
0.984453782,1.000380517,0.175580328,complex
0.986554622,1.000413326,0.175765094,complex
0.988655462,1.000446135,0.175949649,complex
0.990756303,1.000478942,0.176133995,complex
0.992857143,1.000511748,0.176318133,complex
0.994957983,1.000544553,0.176502062,complex
0.997058824,1.000577357,0.176685783,complex
0.999159664,1.000610160,0.176869298,complex
1.001260504,1.000642962,0.177052607,complex
1.003361345,1.000675763,0.177235709,complex
1.005462185,1.000708563,0.177418607,complex
1.007563025,1.000741361,0.177601301,complex
1.009663866,1.000774159,0.177783791,complex
1.011764706,1.000806955,0.177966077,complex
1.013865546,1.000839751,0.178148162,complex
1.015966387,1.000872545,0.178330044,complex
1.018067227,1.000905338,0.178511726,complex
1.020168067,1.000938131,0.178693206,complex
1.022268908,1.000970922,0.178874487,complex
1.024369748,1.001003712,0.179055568,complex
1.026470588,1.001036501,0.179236451,complex
1.028571429,1.001069289,0.179417135,complex
1.030672269,1.001102076,0.179597622,complex
1.032773109,1.001134861,0.179777912,complex
1.034873950,1.001167646,0.179958006,complex
1.036974790,1.001200430,0.180137904,complex
1.039075630,1.001233212,0.180317606,complex
1.041176471,1.001265994,0.180497115,complex
1.043277311,1.001298774,0.180676429,complex
1.045378151,1.001331553,0.180855549,complex
1.047478992,1.001364332,0.181034477,complex
1.049579832,1.001397109,0.181213213,complex
1.051680672,1.001429885,0.181391756,complex
1.053781513,1.001462660,0.181570109,complex
1.055882353,1.001495434,0.181748271,complex
1.057983193,1.001528207,0.181926243,complex
1.060084034,1.001560978,0.182104026,complex
1.062184874,1.001593749,0.182281619,complex
1.064285714,1.001626519,0.182459025,complex
1.066386555,1.001659287,0.182636242,complex
1.068487395,1.001692055,0.182813272,complex
1.070588235,1.001724821,0.182990116,complex
1.072689076,1.001757587,0.183166773,complex
1.074789916,1.001790351,0.183343245,complex
1.076890756,1.001823114,0.183519532,complex
1.078991597,1.001855877,0.183695634,complex
1.081092437,1.001888638,0.183871552,complex
1.083193277,1.001921398,0.184047287,complex
1.085294118,1.001954157,0.184222839,complex
1.087394958,1.001986914,0.184398208,complex
1.089495798,1.002019671,0.184573395,complex
1.091596639,1.002052427,0.184748401,complex
1.093697479,1.002085182,0.184923227,complex
1.095798319,1.002117935,0.185097871,complex
1.097899160,1.002150688,0.185272336,complex
1.100000000,1.002183439,0.185446622,complex
