K,rho1,ang1,rho2,ang2,rho3,ang3
0.000130000,0.999586748,0.000000000,0.999586748,0.000000000,0.999483326,0.000000000
0.000410508,0.998529207,0.000000000,0.998529207,0.000000000,0.998076855,0.000000000
0.000691015,0.996939500,0.000000000,0.996939500,0.000000000,0.995104755,0.001231903
0.000971523,0.995109951,0.003458341,0.995106509,0.002245700,0.995106509,0.002245700
0.001252030,0.995115147,0.004733130,0.995110711,0.003672676,0.995110711,0.003672676
0.001532538,0.995120342,0.005731035,0.995114913,0.004683356,0.995114913,0.004683356
0.001813045,0.995125538,0.006579276,0.995119115,0.005511716,0.995119115,0.005511716
0.002093553,0.995130733,0.007329995,0.995123317,0.006230899,0.995123317,0.006230899
0.002374060,0.995135929,0.008010658,0.995127519,0.006875252,0.995127519,0.006875252
0.002654568,0.995141125,0.008637842,0.995131721,0.007464181,0.995131721,0.007464181
0.002935075,0.995146320,0.009222463,0.995135923,0.008009919,0.995135923,0.008009919
0.003215583,0.995151516,0.009772165,0.995140125,0.008520769,0.995140125,0.008520769
0.003496090,0.995156711,0.010292543,0.995144327,0.009002673,0.995144327,0.009002673
0.003776598,0.995161907,0.010787841,0.995148529,0.009460055,0.995148529,0.009460055
0.004057105,0.995167102,0.011261370,0.995152731,0.009896316,0.995152731,0.009896316
0.004337613,0.995172298,0.011715770,0.995156933,0.010314136,0.995156933,0.010314136
0.004618120,0.995177493,0.012153185,0.995161134,0.010715672,0.995161134,0.010715672
0.004898628,0.995182688,0.012575389,0.995165336,0.011102692,0.995165336,0.011102692
0.005179135,0.995187884,0.012983866,0.995169538,0.011476664,0.995169538,0.011476664
0.005459643,0.995193079,0.013379872,0.995173740,0.011838824,0.995173740,0.011838824
0.005740151,0.995198274,0.013764485,0.995177942,0.012190226,0.995177942,0.012190226
0.006020658,0.995203469,0.014138634,0.995182143,0.012531775,0.995182143,0.012531775
0.006301166,0.995208665,0.014503129,0.995186345,0.012864254,0.995186345,0.012864254
0.006581673,0.995213860,0.014858681,0.995190547,0.013188351,0.995190547,0.013188351
0.006862181,0.995219055,0.015205916,0.995194748,0.013504669,0.995194748,0.013504669
0.007142688,0.995224250,0.015545392,0.995198950,0.013813742,0.995198950,0.013813742
0.007423196,0.995229445,0.015877607,0.995203152,0.014116046,0.995203152,0.014116046
0.007703703,0.995234640,0.016203008,0.995207353,0.014412007,0.995207353,0.014412007
0.007984211,0.995239835,0.016521997,0.995211555,0.014702008,0.995211555,0.014702008
0.008264718,0.995245030,0.016834938,0.995215757,0.014986395,0.995215757,0.014986395
